Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
29/01/1936,De los Santos,neutral,derrota,0,6,Sao Cristóvao (Brasil),Gira por Brasil (amistoso),Figueirinha (Río de Janeiro),Mendilazu,"Juan A Estrada (Delfino); Genaro Mastrángelo y Pascual Buglione; Juan M Bongiovani, José Romero y José Sosa (Carlos García); Carlos Belfiore, Juan A Rivarola (Daniel Bálsamo), Herminio Masantonio, Alberto Galateo (Lamas) y Emilio Baldonedo.","Francisco; Mario y Zé Luiz; Alfonso, Dodó y Gringo (Badi); Roberto, Astor, Hugo, Nena y Carreiro.",foto,4 GOL Carreiro (SCR)</br>10 GOL Nena (SCR)</br>22 GOL Nena (SCR)</br>52 GOL Astor (SCR)</br>75 GOL Carreiro (SCR)</br>85 GOL Hugo (SCR),45,90,0,0
02/02/1936,De los Santos,visitante,derrota,3,4,Vasco da Gama (Brasil),Gira por Brasil (amistoso),Sao Januario (Río de Janeiro),-,"Juan A Estrada; Emilio Moyano y Genaro Mastrángelo; Juan M Bongiovanni, José Romero y Carlos García; Carlos Belfiore, Juan A Rivarola (23 Lamas (Daniel Bálsamo), Herminio Masantonio, Alberto Galateo (23 Emilio Baldonedo) y Gil.","Panello; Osvaldo Saldanha e Itália; Oscarino, Zarzur y Gringo; Orlando, Esteban Kuko, Luíz Carvalho, Nena y Luna.",foto,15 GOL Nena (VDG)</br>17 GOL Herminio Masantonio (HUR)</br>PT GOL Nena (VDG)</br>PT GOL Carlos Belfiore (HUR)</br>ST GOL Nena (VDG)</br>ST GOL Luna (VDG)</br>ST GOL Ricardo Gil (HUR)</br>84 LES Se retira Gil -lesionado-,45,90,0,0
09/02/1936,De los Santos,visitante,derrota,2,4,Paléstra Italia (Brasil),Gira por Brasil (amistoso),Parque Antarctica (San Pablo),Almeida,"Juan A Estrada; Genaro Mastrángelo y Emilio Moyano; Juan M Bongiovanni, José Romero y José Sosa; Carlos Belfiore, Juan A Rivarola, Herminio Masantonio, Alberto Galateo (46 José Lamas) y Ricardo Gil.","Jurandir; Carnera y Begliomini; Tuffi, Dula y Gustavo (Tunga); Moraes, Luizinho, Gabardo, Rolando y Mathias.",foto,PT GOL Rolando (PAL)</br>PT GOL Gabardo (PAL)</br>GOL Gabardo (PAL)</br>ST GOL Lamas (HUR)</br>ST GOL Lamas (HUR)</br>ST GOL Moraes (PAL),45,90,0,0
12/02/1936,De los Santos,visitante,victoria,5,2,Santos (Brasil),Gira por Brasil (amistoso),Vila Belmiro (Santos),Rodrigues,"Delfino; Genaro Mastrángelo y Emilio Moyano; Juan M Bongiovanni, José Romero y José Sosa; Carlos Belfiore, Daniel Bálsamo, Lamas, Emilio Baldonedo (Alberto Galateo) y Ricardo Gil.","Cyro; Neves (Meira) y Agostinho; Ferreira, Marteletti (Dino) y Jango; Sacy, Mário Pereira (Moran), Raul, Araken y Junqueira.",foto,GOL Emilio Baldonedo (HUR)</br>GOL Emilio Baldonedo (HUR)</br>GOL Emilio Baldonedo (HUR)</br>GOL Raul (SAN)</br>GOL Neves (SAN) -penal-</br>GOL José Lamas (HUR)</br>GOL Daniel Bálsamo (HUR),45,90,0,0
15/02/1936,De los Santos,neutral,empate,1,1,Corinthians (Brasil),Gira por Brasil (amistoso),Rúa da Mooca (San Pablo),Guimaraes,"Delfino (Juan A Estrada); Genaro Mastrángelo y Pascual Buglione; Juan M Bongiovanni, José Romero y José Sosa; Carlos Belfiore, Daniel Bálsamo, Lamas, Emilio Baldonedo y Ricardo Gil.","José Hungares; Euclydes Jaú y Carlos Menjou; Ovídio Moreira, José Brandao y Antonio Munhoz; Agostinho Teixeira, André Tedesco (Jango), Uriel Teleco, José Rato y Alexandre De Maria.",foto,27 GOL Agostinho Teixeira (COR)</br>62 GOL Daniel Bálsamo (HUR),45,90,0,0
05/04/1936,De los Santos,local,derrota,0,1,Racing Club,1° fecha del Torneo de 'Honor' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
12/04/1936,De los Santos,visitante,empate,1,1,Gimnasia y Esgrima (La Plata),2° fecha del Torneo de 'Honor' 1936,El Bosque (La Plata),-,-,-,foto,sin datos,45,90,0,0
19/04/1936,De los Santos,local,victoria,2,0,Talleres,3° fecha del Torneo de 'Honor' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
26/04/1936,De los Santos,visitante,empate,1,1,River Plate,4° fecha del Torneo de 'Honor' 1936,Recoleta,-,-,-,foto,sin datos,45,90,0,0
03/05/1936,De los Santos,local,victoria,1,0,San Lorenzo de Almagro,5° fecha del Torneo de 'Honor' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
10/05/1936,De los Santos,visitante,derrota,0,2,Vélez Sarsfield,6° fecha del Torneo de 'Honor' 1936,El Fortín,-,-,-,foto,sin datos,45,90,0,0
17/05/1936,De los Santos,local,victoria,3,1,Platense,7° fecha del Torneo de 'Honor' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
24/05/1936,De los Santos,visitante,victoria,5,2,Atlanta,8° fecha del Torneo de 'Honor' 1936,Villa Crespo,-,-,-,foto,sin datos,45,90,0,0
31/05/1936,De los Santos,local,victoria,2,1,Quilmes,9° fecha del Torneo de 'Honor' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
07/06/1936,De los Santos,visitante,victoria,1,0,Independiente,10° fecha del Torneo de 'Honor' 1936,Doble Visera,-,-,-,foto,sin datos,45,90,0,0
14/06/1936,De los Santos,local,derrota,0,2,Estudiantes (La Plata),11° fecha del Torneo de 'Honor' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
21/06/1936,De los Santos,visitante,victoria,4,3,Lanús,12° fecha del Torneo de 'Honor' 1936,Lanús,-,-,-,foto,sin datos,45,90,0,0
28/06/1936,De los Santos,local,victoria,3,1,Boca Juniors,13° fecha del Torneo de 'Honor' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
05/07/1936,De los Santos,local,victoria,2,1,Tigre,14° fecha del Torneo de 'Honor' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
12/07/1936,De los Santos,visitante,empate,3,3,Ferro C. Oeste,15° fecha del Torneo de 'Honor' 1936,Caballito,-,-,-,foto,sin datos,45,90,0,0
19/07/1936,De los Santos,local,victoria,4,1,Chacarita Juniors,16° fecha del Torneo de 'Honor' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
26/07/1936,De los Santos,visitante,victoria,1,0,Argentinos Juniors,17° fecha del Torneo de 'Honor' 1936,Boca Juniors,-,-,-,foto,sin datos,45,90,0,0
16/08/1936,De los Santos,visitante,empte,1,1,Racing Club,1° fecha del Torneo de 'Campeonato' 1936,Racing,-,-,-,foto,sin datos,45,90,0,0
23/08/1936,De los Santos,local,victoria,4,0,Gimnasia y Esgrima (La Plata),2° fecha del Torneo de 'Campeonato' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
30/08/1936,De los Santos,visitante,empate,1,1,Talleres,3° fecha del Torneo de 'Campeonato' 1936,Talleres,-,-,-,foto,sin datos,45,90,0,0
06/09/1936,De los Santos,local,victoria,1,0,River Plate,4° fecha del Torneo de 'Campeonato' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
13/09/1936,De los Santos,visitante,derrota,1,2,San Lorenzo de Almagro,5° fecha del Torneo de 'Campeonato' 1936,Gasómetro,-,-,-,foto,sin datos,45,90,0,0
27/09/1936,De los Santos,local,victoria,3,1,Vélez Sarsfield,6° fecha del Torneo de 'Campeonato' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
04/10/1936,De los Santos,visitante,derrota,0,1,Platense,7° fecha del Torneo de 'Campeonato' 1936,Saavedra,-,-,-,foto,sin datos,45,90,0,0
11/10/1936,De los Santos,local,victoria,1,0,Atlanta,8° fecha del Torneo de 'Campeonato' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
18/10/1936,De los Santos,visitante,derrota,3,6,Rosario Central,Amistoso 1936,Arroyito (Rosario),Aróstegui,"Benjamín Martínez (30 Bruno Barrionuevo); Genaro Mastrángelo (40 Carlos Scarpin) y Emilio Moyano; Juan M Bongiovanni (76 Romero), Romero (40 Enrique Salinas) y Héctor García; Carlos Belfiore, Daniel Bálsamo, Antonio Lamas, Emilio Baldonedo y Ubaldo Medina.","Pedro Araiz; Justo Lezcano y Ferrando; Rafael Luongo (40 Alfredo Fogel), Félix Ferreyra y Atilio Orihuela; Juan Cagnoti, Oscar Díaz (35 Justo Astrada (46 Oscar Díaz)), Sebastián Guzmán (61 Antonio Ciraolo), Arnoldo Martínez y Aníbal Maffei.",foto,9 GOL Arnoldo Martínez (RCE)</b>13 GOL Juan Cagnotti (RCE)</b>25 GOL Arnoldo Martínez (RCE)</b>29 GOL Juan Cagnotti (RCE)</b>37 Sebastián Guzmán (RCE)</b>60 GOL Emilio Baldonedo (HUR) -penal-</b>76 GOL Emilio Baldonedo (HUR) -penal-</b>80 GOL Emilio Baldonedo (HUR)</b>83 GOL Oscar Díaz (RCE)</b>85 Partido suspendido,45,85,0,0
25/10/1936,De los Santos,visitante,derrota,3,5,Quilmes,9° fecha del Torneo de 'Campeonato' 1936,Quilmes,-,-,-,foto,sin datos,45,90,0,0
01/11/1936,De los Santos,local,derrota,0,2,Independiente,10° fecha del Torneo de 'Campeonato' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
08/11/1936,De los Santos,visitante,empate,2,2,Estudiantes (La Plata),11° fecha del Torneo de 'Campeonato' 1936,Uno (La Plata),-,-,-,foto,sin datos,45,90,0,0
11/11/1936,De los Santos,local,victoria,7,0,Lanús,12° fecha del Torneo de 'Campeonato' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
15/11/1936,De los Santos,visitante,derrota,0,3,Boca Juniors,13° fecha del Torneo de 'Campeonato' 1936,Boca Juniors,-,-,-,foto,sin datos,45,90,0,0
22/11/1936,De los Santos,visitante,empate,1,1,Tigre,14° fecha del Torneo de 'Campeonato' 1936,Victoria,-,-,-,foto,sin datos,45,90,0,0
29/11/1936,De los Santos,local,victoria,3,1,Ferro C. Oeste,15° fecha del Torneo de 'Campeonato' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
06/12/1936,De los Santos,visitante,victoria,6,1,Chacarita Juniors,16° fecha del Torneo de 'Campeonato' 1936,Chacarita Juniors,-,-,-,foto,sin datos,45,90,0,0
13/12/1936,De los Santos,local,derrota,0,1,Argentinos Juniors,17° fecha del Torneo de 'Campeonato' 1936,La Quema,-,-,-,foto,sin datos,45,90,0,0
03/04/1937,De los Santos,visitante,victoria,3,2,Estudiantes (La Plata),1° fecha del Campeonato 1937,Uno (La Plata),-,-,-,foto,sin datos,45,90,0,0
11/04/1937,De los Santos,local,victoria,3,2,Ferro C. Oeste,2° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
18/04/1937,De los Santos,visitante,victoria,1,0,Independiente,3° fecha del Campeonato 1937,Doble Visera,-,-,-,foto,sin datos,45,90,0,0
02/05/1937,De los Santos,visitante,victoria,2,1,Quilmes,4° fecha del Campeonato 1937,Quilmes,-,-,-,foto,sin datos,45,90,0,0
16/05/1937,De los Santos,local,victoria,2,1,River Plate,5° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
23/05/1937,De los Santos,visitante,derrota,2,4,Tigre,6° fecha del Campeonato 1937,Victoria,-,-,-,foto,sin datos,45,90,0,0
27/05/1937,De los Santos,visitante,derrota,0,2,Colón (Santa Fe),Amistoso 1937,Moreno y Zavallla (Santa Fe),-,-,-,foto,sin datos,45,90,0,0
30/05/1937,De los Santos,local,victoria,3,1,Atlanta,7° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
07/06/1937,De los Santos,visitante,empate,1,1,Talleres,8° fecha del Campeonato 1937,Talleres,-,-,-,foto,sin datos,45,90,0,0
13/06/1937,De los Santos,local,derrota,2,3,Gimnasia y Esgrima (La Plata),9° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
27/06/1937,De los Santos,visitante,empate,3,3,Racing Club,10° fecha del Campeonato 1937,Racing,-,-,-,foto,sin datos,45,90,0,0
04/07/1937,De los Santos,local,victoria,2,0,Vélez Sarsfield,11° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
11/07/1937,De los Santos,visitante,derrota,0,1,San Lorenzo de Almagro,12° fecha del Campeonato 1937,Gasómetro,-,-,-,foto,sin datos,45,90,0,0
18/07/1937,De los Santos,local,victoria,3,2,Argentinos Juniors,13° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
25/07/1937,De los Santos,visitante,derrota,0,3,Boca Juniors,14° fecha del Campeonato 1937,La Bombonera,-,-,-,foto,sin datos,45,90,0,0
01/08/1937,De los Santos,local,victoria,5,1,Platense,15° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
07/08/1937,De los Santos,visitante,derrota,1,3,Chacarita Juniors,16° fecha del Campeonato 1937,Chacarita Juniors,-,-,-,foto,sin datos,45,90,0,0
10/08/1937,De los Santos,local,derrota,2,3,Lanús,17° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
22/08/1937,De los Santos,local,victoria,4,1,Estudiantes (La Plata),18° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
29/08/1937,De los Santos,visitante,derrota,3,4,Ferro C. Oeste,19° fecha del Campeonato 1937,Recoleta,-,-,-,foto,sin datos,45,90,0,0
12/09/1937,De los Santos,local,derrota,2,4,Independiente,20° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
19/09/1937,De los Santos,local,victoria,5,0,Quilmes,21° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
26/09/1937,De los Santos,visitante,victoria,5,2,River Plate,22° fecha del Campeonato 1937,Recoleta,-,-,-,foto,sin datos,45,90,0,0
03/10/1937,De los Santos,local,victoria,1,0,Tigre,23° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
10/10/1937,De los Santos,visitante,derrota,2,3,Atlanta,24° fecha del Campeonato 1937,Villa Crespo,-,-,-,foto,sin datos,45,90,0,0
24/10/1937,De los Santos,local,victoria,6,2,Talleres,25° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
31/10/1937,De los Santos,visitante,empate,1,1,Gimnasia y Esgrima (La Plata),26° fecha del Campeonato 1937,El Bosque (La Plata),-,-,-,foto,sin datos,45,90,0,0
07/11/1937,De los Santos,local,empate,2,2,Racing Club,27° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
14/11/1937,De los Santos,visitante,derrota,1,3,Vélez Sarsfield,28° fecha del Campeonato 1937,El Fortín,-,-,-,foto,sin datos,45,90,0,0
21/11/1937,De los Santos,local,derrota,0,1,San Lorenzo de Almagro,29° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
28/11/1937,De los Santos,visitante,victoria,5,1,Argentinos Juniors,30° fecha del Campeonato 1937,Caballito,-,-,-,foto,sin datos,45,90,0,0
05/12/1937,De los Santos,local,victoria,2,1,Boca Juniors,31° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
08/12/1937,De los Santos,visitante,derrota,3,4,Platense,32° fecha del Campeonato 1937,Saavedra,-,-,-,foto,sin datos,45,90,0,0
12/12/1937,De los Santos,local,victoria,5,0,Chacarita Juniors,33° fecha del Campeonato 1937,La Quema,-,-,-,foto,sin datos,45,90,0,0
19/12/1937,De los Santos,visitante,derrota,0,2,Lanús,34° fecha del Campeonato 1937,Lanús,-,-,-,foto,sin datos,45,90,0,0
06/02/1938,De los Santos,local,victoria,5,2,Almagro,Amistoso 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
20/03/1938,De los Santos,local,victoria,5,4,Platense,Amistoso 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
26/03/1938,De los Santos,local,victoria,7,2,Lanús,Amistoso 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
03/04/1938,De los Santos,visitante,victoria,7,2,Talleres,1° fecha del Campeonato 1938,Talleres,-,-,-,foto,sin datos,45,90,0,0
10/04/1938,De los Santos,local,victoria,2,1,Racing Club,2° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
08/05/1938,De los Santos,visitante,derrota,2,7,Vélez Sarsfield,4° fecha del Campeonato 1938,El Fortín,-,-,-,foto,sin datos,45,90,0,0
15/05/1938,De los Santos,local,victoria,5,2,Chacarita Juniors,5° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
22/05/1938,De los Santos,visitante,empate,2,2,Boca Juniors,6° fecha del Campeonato 1938,Caballito,-,-,-,foto,sin datos,45,90,0,0
29/05/1938,De los Santos,local,victoria,4,1,Platense,7° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
05/06/1938,De los Santos,visitante,derrota,0,2,Estudiantes (La Plata),8° fecha del Campeonato 1938,Uno (La Plata),-,-,-,foto,sin datos,45,90,0,0
12/06/1938,De los Santos,local,victoria,3,2,Lanús,9° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
19/06/1938,De los Santos,visitante,victoria,2,1,Tigre,10° fecha del Campeonato 1938,Victoria,-,-,-,foto,sin datos,45,90,0,0
28/06/1938,De los Santos,local,derrota,2,3,Independiente,11° fecha del Campeonato 1938,Gasómetro,-,-,-,foto,sin datos,45,90,0,0
03/07/1938,De los Santos,visitante,derrota,2,4,San Lorenzo de Almagro,12° fecha del Campeonato 1938,Gasómetro,-,-,-,foto,sin datos,45,90,0,0
17/07/1938,De los Santos,local,victoria,3,0,Almagro,13° fecha del Campeonato 1938,Gasómetro,-,-,-,foto,sin datos,45,90,0,0
31/07/1938,De los Santos,visitante,derrota,1,4,Atlanta,14° fecha del Campeonato 1938,Villa Crespo,-,-,-,foto,sin datos,45,90,0,0
07/08/1938,De los Santos,local,victoria,4,2,Ferro C. Oeste,15° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
14/08/1938,De los Santos,visitante,derrota,1,5,River Plate,16° fecha del Campeonato 1938,Recoleta,-,-,-,foto,sin datos,45,90,0,0
21/08/1938,De los Santos,local,derrota,0,1,Gimnasia y Esgrima (La Plata),17° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
28/08/1938,De los Santos,local,derrota,1,2,Talleres,18° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
04/09/1938,De los Santos,visitante,empate,4,4,Racing Club,19° fecha del Campeonato 1938,Racing,-,-,-,foto,sin datos,45,90,0,0
18/09/1938,De los Santos,local,victoria,6,2,Vélez Sarsfield,21° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
25/09/1938,De los Santos,visitante,derrota,0,3,Chacarita Juniors,22° fecha del Campeonato 1938,Chacarita Juniors,-,-,-,foto,sin datos,45,90,0,0
02/10/1938,De los Santos,local,victoria,1,0,Boca Juniors,23° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
09/10/1938,De los Santos,visitante,empate,1,1,Platense,24° fecha del Campeonato 1938,Saavedra,-,-,-,foto,sin datos,45,90,0,0
12/10/1938,De los Santos,local,victoria,5,2,Colón (Santa Fe),Amistoso 1938,Chacarita Juniors,-,-,-,foto,sin datos,45,90,0,0
16/10/1938,De los Santos,local,derrota,3,4,Estudiantes (La Plata),25° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
23/10/1938,De los Santos,visitante,derrota,1,6,Lanús,26° fecha del Campeonato 1938,Lanús,-,-,-,foto,sin datos,45,90,0,0
30/10/1938,De los Santos,local,victoria,9,3,Tigre,27° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
06/11/1938,De los Santos,visitante,derrota,1,4,Independiente,28° fecha del Campeonato 1938,Doble Visera,-,-,-,foto,sin datos,45,90,0,0
13/11/1938,De los Santos,local,derrota,1,2,San Lorenzo,29° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
20/11/1938,De los Santos,visitante,victoria,2,1,Almagro,30° fecha del Campeonato 1938,El Fortín,-,-,-,foto,sin datos,45,90,0,0
27/11/1938,De los Santos,local,victoria,5,3,Atlanta,31° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
04/12/1938,De los Santos,visitante,victoria,5,3,Ferro C. Oeste,32° fecha del Campeonato 1938,Cabalito,-,-,-,foto,sin datos,45,90,0,0
11/12/1938,De los Santos,local,derrota,2,5,River Plate,33° fecha del Campeonato 1938,La Quema,-,-,-,foto,sin datos,45,90,0,0
18/12/1938,P Martínez,visitante,derrota,3,7,Gimnasia y Esgrima (La Plata),34° fecha del Campeonato 1938,El Bosque (La Plata),-,-,-,foto,sin datos,45,90,0,0
29/01/1939,Casanovas,visitante,victoria,4,3,Corinthians (Brasil),Gira por Brasil 1939 (amistoso),Parque Sao Jorge (San Pablo),José Alexandrino,"Alfonso Espada; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni (Héctor García), Héctor García (46 Manuel Giúdice) y José M Sosa (46 Jorge Titonell); Rafael Catalá, Daniel Bálsamo, Alberto Crotti, Emilio Baldonedo y Carlos Belfiore.","José Hungares (46 Faustino); Miro y Carlos Menjou; Antonio Munhoz (46 Jango), José Brandao y Tiao; José Lopes, Joao Joane, André Teleco, Wilson Zanini y Carlinhos Brunelli.",foto,4 GOL Lópes (COR)</br>29 GOL Emilio Baldonedo (HUR)</br>43 GOL Emilio Baldonedo (HUR)</br>54 GOL Rafael Catalá (HUR)</br>71 GOL Daniel Bálsamo (HUR)</br>73 GOL Carlos Marinelli (COR) -en contra-</br>76 GOL Teleco (COR),45,90,0,0
02/02/1939,Casanovas,visitante,derrota,1,2,Paléstra Italia (Brasil),Gira por Brasil 1939 (amistoso),Parque Antarctica (San Pablo),José Alexandrino,"Alfonso Espada; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni (Héctor García), Manuel Giúdice y José M Sosa (Jorge Titonell); Carlos Belfiore (Rafael Catalá), Daniel Bálsamo, Alberto Crotti, Emilio Baldonedo y Juan S Belmonte.","Jurandir; Carneiro y Junqueira;Tunga, Dula y Del Nero; Barcelona, Luizinho Oliveira (Rolando), Carlos, Rolando (Feitiço) e Imparato.",foto,28 GOL Daniel Bálsamo (HUR)</br>34 GOL Rolando (PAL)</br>60 GOL Carlos (PAL),45,90,0,0
06/02/1939,Casanovas,visitante,derrota,1,4,Portuguesa Santista (Brasil),Gira por Brasil 1939 (amistoso),Marapé (Santos),Jorge Miguel,"Benjamín Martínez (Alfonso Espada); Carlos Marinelli y Jorge Alberti (Vidal); Juan M Bongiovanni (Jorge Titonell), Héctor García (Manuel Giúdice) y José M Sosa; Carlos Belfiore, Daniel Bálsamo, Alberto Crotti, Emilio Baldonedo y Juan S Belmonte.","Ratto; Tuffy y Virgilio (Brun); Cabo Verde, Navarro (Ary) y Anthero; Pintado (Vega), Armandinho, Corréa, Rato y Logú.",foto,16 GOL Rato (POR)</br>29 GOL Alberto Crotti (HUR)</br>52 GOL Corréa (POR)</br>71 GOL Logú (POR)</br>86 GOL Logú (POR),45,90,0,0
11/02/1939,Casanovas,visitante,derrota,4,5,Vasco - América (Brasil),Gira por Brasil 1939 (amistoso),Rua Campos Sales (Brasil),Sánchez Díaz,"Alfonso Espada (Benjamín Martínez); Carlos Marinelli y Jorge Alberti; Jorge Titonell, Héctor García y José M Sosa; Juan M Bongiovanni, Daniel Bálsamo, Alberto Crotti, Emilio Baldonedo y Carlos Belfiore.","Joel; Jaú y Badu; Possato (Alcebíades), Aziz (Sidney) y Argemiro; Lindo, Alfredo, Plácido, Carola (Bahia) y Pirica.",foto,12 GOL Plácido (VGA)</br>20 GOL Plácido (VGA)</br>17 GOL Alfredo (VGA)</br>28 GOL Alfredo Crotti (HUR)</br>29 GOL Lindo (VGA)</br>55 GOL Emilio Baldonedo (HUR)</br>56 GOL Emilio Baldonedo (HUR)</br>68 GOL Daniel Bálsamo (HUR)</br>84 GOL Alfredo (VGA),45,90,0,0
04/03/1939,Stábile,-,-,-,-,Estudiantes,Amistoso 1939,-,-,-,-,foto,sin datos,45,90,0,0
19/03/1939,Stábile,local,victoria,5,1,Rosario Central,1° fecha del Campeonato 1939,La Quema,Álvarez,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Rafael Villagra, Manuel Giúdice y Jorge Titonell; Carlos Belfiore, Miguel Ortiz, Herminio Masantonio, Emilio Baldonedo y Valentín Saldamando.","Araiz; Lescano e I Díaz; López, Rivero y Fogel; Laporta, Cisterna, O Díaz, D'Alessandro y Rodríguez.",foto,26 GOL Rodríguez (RCE)</br>31 GOL Emilio Baldonedo (HUR)</br>37 GOL Emilio Baldonedo (HUR)</br>33 GOL Herminio Masantonio (HUR)</br>35 GOL Manuel Giúdice (HUR)</br>43 GOL Miguel Ortiz (HUR),45,90,0,0
26/03/1939,Stábile,visitante,victoria,2,1,River Plate,2° fecha del Campeonato 1939,Monumental,Caswell,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Carlos Belfiore, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Valentín Saldamando.","Juan B Besuzzo; Ricardo Vaghi y Alberto Cuello; Esteban Malazzo, José Minella y Aarón Wergifker; Carlos Peucelle, Eladio Vaschetto, Luis Rongo, José Moreno y Adolfo Pedernera.",foto,34 GOL Ramón Guerra (HUR)</br>54 GOL José Moreno (RPL)</br>59 GOL Ramón Guerra (HUR),45,90,0,0
02/04/1939,Stábile,local,victoria,2,0,Ferro C. Oeste,3° fecha del Campeonato 1939,La Quema,Neme,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Carlos Belfiore, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Valentín Saldamando.","Piva; Garavano y Marante; Chapuis, Grecco y Fariña; Maril, Jaime Sarlanga, Lijé, Vassotto y Martínez.",foto,9 GOL Herminio Masantonio (HUR)</br>35 GOL Valentín Saldamando (HUR),45,90,0,0
09/04/1939,Stábile,visitante,derrota,3,4,Gimnasia y Esgrima (La Plata),4° fecha del Campeonato 1939,El Bosque (La Plata),Álvarez,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Marcial Barrios, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Valentín Saldamando.","Yustrich; Montañes y Blanes; Becchio, Gagliardo y Tombell; Rocha, Fidel, Pérez, Orleans y Arregui.",foto,3 GOL Pérez (GYE)</br>9 GOL Pérez (GYE)</br>17 GOL Pérez (GYE)</br>20 GOL Marcial Barrios (HUR)</br>52 GOL Herminio Masantonio (HUR)</br>GOL 56 Orleans (GYE)</br>89 GOL Emilio Baldonedo (HUR),45,90,0,0
